Entity,Code,Year,Cost of sequencing a full human genome
World,OWID_WRL,2001,95263070
World,OWID_WRL,2002,61448420
World,OWID_WRL,2003,40157556
World,OWID_WRL,2004,18519312
World,OWID_WRL,2005,13801124
World,OWID_WRL,2006,10474556
World,OWID_WRL,2007,7147571.5
World,OWID_WRL,2008,342502.06
World,OWID_WRL,2009,70333.33
World,OWID_WRL,2010,29091.73
World,OWID_WRL,2011,7743.44
World,OWID_WRL,2012,5901.29
World,OWID_WRL,2013,5096.08
World,OWID_WRL,2014,4008.11
World,OWID_WRL,2015,1245.31
World,OWID_WRL,2016,1175.74
World,OWID_WRL,2017,1015.38
World,OWID_WRL,2018,1232.28
World,OWID_WRL,2019,606.32
World,OWID_WRL,2020,511.97
World,OWID_WRL,2021,454.05
World,OWID_WRL,2022,524.62
